KNRConstruction,307,292.3,292.3,292.3,292.3,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257872/KNR_Constructions_j7jw57.jpg
Reliance Infra,290,124.7,124.7,124.7,124.7,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257875/Reliance_Infra_sc0cad.jpg
RouteMobile,65,1584.05,1584.05,1584.05,1584.05,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257875/RouteMobile-removebg-preview_kxxfzd.png
TCS,3968,3770.35,3770.35,3770.35,3770.35,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257876/tcs-removebg-preview_vktvsa.png
Infosys,4631,1882.95,1882.95,1882.95,1882.95,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257881/Infosys_Logo-removebg-preview_bz2u8l.png
Mindtree,172,4315.7,4315.7,4315.7,4315.7,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257874/Mindtree_logo_rpot2p.jpg
HappiestMinds,151,1110.6,1110.6,1110.6,1110.6,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257880/happiest_minds_logo_wg8r0f.jpg
Wipro,5947,605.6,605.6,605.6,605.6,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257877/Wipro_logo_qkcvsu.jpg
HCL Tech,2864,1187.05,1187.05,1187.05,1187.05,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257880/HCl_Technologies_ww7hhd.png
GAIL,4587,161.7,161.7,161.7,161.7,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257880/GAIL_sm655h.png
SAIl,4117,106.4,106.4,106.4,106.4,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257875/SAIL_logo_sq8oxd.png
NALCO,1602,125.95,125.95,125.95,125.95,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257874/NALCO_y1g7k2.jpg
Hindalco,2515,587.5,587.5,587.5,587.5,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257881/Hindalco_enpfrm.png
Jindal Steel,849,547.45,547.45,547.45,547.45,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257872/Jindal_Steel_w4jqmb.jpg
Tata Steel,1251,1341.9,1341.9,1341.9,1341.9,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257876/tata-steel-logo_wgzx5y.png
DLF ,2411,387.3,387.3,387.3,387.3,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257878/DLF-logo-7E2CBA06DC-seeklogo.com_cci67a.png
NBCC,1907,39.2,39.2,39.2,39.2,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257874/NBCC_logo_x1m2xu.png
Godrej Prop.,261,1681.75,1681.75,1681.75,1681.75,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257879/godrej_logo.png_q4x5hp.jpg
Bata,125,2022.25,2022.25,2022.25,2022.25,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257878/Bata_logo_oj2hwk.png
Metro,298,601.2,601.2,601.2,601.2,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257874/Metro_Retail_Stores_Group_Corporate_logo.svg_d8gi22.png
Bharti Airtel,6309,767.8,767.8,767.8,767.8,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257876/AIRTEL_LOGO_nmwx2w.png
VI,30829,10.25,10.25,10.25,10.25,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257876/VI_LOGO_f2jdjh.jpg
Zomato,11303,86.25,86.25,86.25,86.25,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257876/zomato_logo_xk12dg.png
Paytm,729,610.55,610.55,610.55,610.55,https://res.cloudinary.com/dtvokkanl/image/upload/v1649257874/Paytm_logo_vnk2pg.png
